component,explained_variance_ratio,cumulative_variance
1,0.23859211908635106,0.23859211908635106
2,0.11047409624875651,0.34906621533510757
3,0.086153625014059,0.43521984034916655
4,0.07101448119856232,0.5062343215477288
5,0.06386487822813086,0.5700991997758598
6,0.06169854507196839,0.6317977448478281
7,0.053495023605781275,0.6852927684536094
8,0.05287165950456433,0.7381644279581737
9,0.04625605141507744,0.7844204793732512
10,0.03857975169793382,0.823000231071185
11,0.03478569495471078,0.8577859260258958
12,0.03313122991738147,0.8909171559432773
13,0.029034829644871415,0.9199519855881486
14,0.02413370848473404,0.9440856940728827
15,0.01948194191673082,0.9635676359896135
16,0.015622328476879797,0.9791899644664933
17,0.008606375632779613,0.987796340099273
18,0.005958915288771725,0.9937552553880447
19,0.00517098932521662,0.9989262447132613
20,0.0009890659776981765,0.9999153106909595
21,8.468930904065985e-05,1.0000000000000002
